format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",4000,1019.91,7649.325,1.4,10709,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",5000,1117.75,8383.125,1.4,11736,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",50,178.05,1335.375,1.6,2137,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",75,185.47,1391.025,1.6,2226,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,201.96,1514.7,1.6,2424,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,225.1,1688.25,1.6,2701,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,230.86,1731.45,1.6,2770,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,244.39,1832.925,1.6,2933,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,299.48,2246.1,1.5,3369,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
A4 salgsmappe med UV lak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,394.68,2960.1,1.5,4440,https://www.wir-machen-druck.de/mappe-fuer-din-a4-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-hochglanzuvlack.html
