fold_type,side,format,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck glänzend,12500,197.07,1478.025,1.6,2365,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck glänzend,15000,227.92,1709.4,1.6,2735,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck glänzend,20000,291.25,2184.375,1.5,3277,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,50,26.55,199.125,1.6,319,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,100,30.37,227.775,1.6,364,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,250,32.2,241.5,1.6,386,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,500,33.78,253.35,1.6,405,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,750,34.32,257.4,1.6,412,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,1000,34.85,261.375,1.6,418,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,1500,48.52,363.9,1.6,582,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,2000,52.83,396.225,1.6,634,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,2500,56.43,423.225,1.6,677,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,3000,62.36,467.7,1.6,748,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,4000,74.26,556.95,1.6,891,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,5000,85.68,642.6,1.6,1028,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,6000,101.12,758.4,1.6,1213,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,7000,117.48,881.1,1.6,1410,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
Folder midterfalset,4 sider,10.5 x 10.5 cm,135g hochwertiger Qualitätsdruck matt,8000,132.34,992.55,1.6,1588,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-105-cm-x-105-cm-vertikaler-mittelfalz-4seitig.html
